選挙区,議員名,ひらがな,写真,所属会派,プロフィール,URL
北海道,岩本　　剛人,いわもと　つよひと,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019005.jpg,自由民主党,昭和３９年１０月１９日、北海道札幌市生まれ○札幌市清田高校、淑徳大学社会福祉学部社会福祉学科卒業○昭和６２年石狩開発株式会社入社、平成１１年北海道議会議員当選（札幌市清田区選出）以後、連続５期当選。在任中に、議会運営委員長、食と観光対策特別委員長、組織委員長などを歴任。自民党道連においては幹事長、副会長を歴任○令和元年第２５回参議院議員通常選挙に初当選、令和３年防衛大臣政務官○現在外交防衛委員会理事、決算委員会委員、災害対策特別委員会委員、国民生活・経済及び地方に関する調査会委員。自民党においては環境部会副部会長、地方組織・議員総局次長、報道局次長、自民党道連副会長、北海道体操連盟会長、北海道車いすテニス協会会長、札幌市ソフトボール協会会長など,/japanese/joho1/kousei/giin/profile/7019005.htm
北海道,勝部　　賢志,かつべ　けんじ,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019013.jpg,立憲民主・社民,昭和３４年９月６日、北海道千歳市東雲町に生まれる。昭和５９年３月北海道教育大学札幌分校卒業。昭和５９年４月江別市立大麻東小学校勤務、平成２年４月厚田村立厚田小学校勤務、平成５年４月千歳市立北栄小学校勤務、平成１０年北教組石狩支部専従書記次長、平成１２年北教組石狩支部専従書記長、平成１５年北海道議会議員（１期）、平成１９年北海道議会議員（２期）、平成２３年北海道議会議員（３期）、平成２７年北海道議会議員（４期）、平成２９年北海道議会副議長就任、平成３１年北海道議会議員任期満了、令和元年７月第２５回参議院議員選挙北海道選挙区で当選（１期）○現在党北海道参議院選挙区第二総支部長、財政金融委員会委員、議院運営委員会理事、政府開発援助等及び沖縄・北方問題に関する特別委員会委員,/japanese/joho1/kousei/giin/profile/7019013.htm
北海道,高橋　はるみ,たかはし　はるみ,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019026.jpg,自由民主党,昭和２９年１月６日富山市生まれ。昭和５１年３月一橋大学経済学部を卒業、同年４月通商産業省に入省。平成１２年中小企業庁経営支援部経営支援課長、同１３年北海道経済産業局長、同１４年経済産業研修所長、同１５年退職。同１５年４月北海道知事に初当選し同３１年４月に退任するまで連続４期務める。令和元年７月の第２５回参議院通常選挙において、北海道選挙区から初当選○現在予算委員会理事、ＯＤＡ及び沖縄・北方問題に関する特別委員会理事、文教科学委員会委員,/japanese/joho1/kousei/giin/profile/7019026.htm
北海道,徳永　　エリ[鈴木　　エリ],とくなが　えり,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7010036.jpg,立憲民主・社民,昭和３７年１月１日、北海道札幌市生まれ。藤女子高等学校、法政大学法学部法律学科中退。在学中より在京キー局において日航機墜落事故、グリコ・森永事件等の事件リポーターとして活躍。また、北海道に活動の拠点を移し、特に女性と子どもを取り巻く課題を中心に、常に現場の最前線で取材し、問題提起を続ける。参議院初当選後は、一貫して農林水産業の振興を中心に、地域の環境問題にも踏み込んだ活動を展開している。東日本大震災発生後は復興支援に助力し、原発避難者の問題や原子力政策のあり方に発言を続ける。農政においては、「農業者戸別所得補償法案」作成に中心メンバーとして携わり、ＴＰＰなどの国際貿易交渉対策についても多くの問題提起を行っている。また、ひとり親家庭の母親として、関連する課題に発言を続ける○現在党常任幹事会議長、党北海道副代表、農林水産委員会理事、国家基本政策委員会、東日本大震災復興特別委員会所属○参議院議員３期,/japanese/joho1/kousei/giin/profile/7010036.htm
北海道,長谷川　　岳,はせがわ　がく,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7010043.jpg,自由民主党,昭和４６年２月１６日愛知県生まれ。平成６年３月北海道大学経済学部経営学科卒業。在学中、ＹＯＳＡＫＯＩソーラン祭り実行委員会発足、平成４年６月に第１回を開催、以降、観客２００万人強の北海道有数の観光資源となる。平成１３年３月ＹＯＳＡＫＯＩソーラン祭り組織委員会専務理事。平成２２年７月参議院議員選挙初当選。平成２５年１０月参議院議院運営委員会理事、平成２６年９月総務大臣政務官、平成２７年１０月自由民主党水産部会長、平成２８年７月参議院議員選挙当選、平成２８年１０月参議院予算委員会理事、平成２９年９月参議院財政金融委員長、平成３０年１０月自由民主党法務部会長、令和元年９月総務副大臣、令和２年１０月参議院議院運営委員会筆頭理事、令和３年１１月自由民主党政務調査会副会長、令和４年１月参議院農林水産委員長、令和４年７月参議院議員選挙当選,/japanese/joho1/kousei/giin/profile/7010043.htm
北海道,船橋　　利実,ふなはし　としみつ,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7022034.jpg,自由民主党,昭和３５年１１月２０日、北海道北見市生まれ。北海道立北見柏陽高等学校、北海学園大学工学部土木工学科卒業。大学卒業後、家業の建設業に８年間従事。平成３年、北見市議会議員（１期）、平成７年、北海道議会議員（５期連続）。平成２４年、第４６回衆議院議員総選挙にて初当選。平成２９年、北海商科大学大学院商学研究科修士課程修了。平成２９年、第４８回衆議院議員総選挙再選。財務金融委員会委員、厚生労働委員会委員、決算行政監視委員会委員、災害対策特別委員会委員、自民党国会対策委員、厚生労働部会副部会長、経済産業部会副部会長、北海道総合政策特別委員会幹事等を歴任。令和２年９月、財務大臣政務官就任。令和４年７月、第２６回参議院議員通常選挙にて初当選○現在農林水産委員会理事、予算委員会委員、自民党国会対策委員会副委員長、農林水産関係団体委員会副委員長、地方組織・議員総局次長,/japanese/joho1/kousei/giin/profile/7022034.htm
青森県,滝沢　　　求,たきさわ　もとめ,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7013031.jpg,自由民主党,昭和３３年１０月１１日、青森県八戸市生まれ。八戸市立長者小学校、同長者中学校、青森県立八戸高等学校を経て、中央大学法学部入学。昭和５８年卒業。衆議院議員中曽根康弘秘書を経て、平成１０年、青森県議会議員に初当選。以降連続５期当選。県議会副議長。平成２５年７月、青森県選挙区より参議院議員に初当選、参議院環境委員会筆頭理事、自民党組織本部団体総局環境関係団体委員長、平成２８年８月外務大臣政務官、自民党環境・国土交通部会長代理、副幹事長、広報副本部長、環境部会長、環境温暖化対策調査会副会長○現在参議院環境委員長,/japanese/joho1/kousei/giin/profile/7013031.htm
青森県,田名部　匡代,たなぶ　まさよ,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7016025.jpg,立憲民主・社民,昭和４４年７月１０日、青森県八戸市生まれ。青森県立八戸東高等学校を経て、平成２年玉川学園女子短期大学卒業。衆議院議員秘書を経た後、南部山アリーナに勤務。平成１２年衆議院議員選に臨むも惜敗、平成１５年衆議院議員初当選、その後平成１７年、平成２１年と当選を果たす。衆議院厚生労働委員会委員、環境委員会委員、青少年問題特別委員会委員、農林水産委員会筆頭理事。平成２２年農林水産大臣政務官に就任。東日本大震災被災地の農林水産業の復興、和食のユネスコ無形文化遺産登録の実現に取り組む○現在党参議院幹事長、農林水産委員会委員、行政監視委員会理事,/japanese/joho1/kousei/giin/profile/7016025.htm
岩手県,横沢　　高徳,よこさわ　たかのり,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019040.jpg,立憲民主・社民,１９７２年３月６日、岩手県紫波郡矢巾町生まれ。１９９０年３月、岩手県立盛岡工業高等学校卒業。１９９０年４月、スズキ株式会社入社。１９９２年１２月、有限会社ＮＲＳ入社。１９９４年３月、株式会社デンキョー入社。１９９５年、モトクロス国際Ａ級ライセンス取得、全日本モトクロス選手権参戦。１９９７年、練習中事故により脊髄を損傷し車イス生活となる。１９９９年、チェアスキー選手となり国内大会出場。２０１０年３月、バンクーバーパラリンピック日本代表。アルペンスキー男子大回転座位２１位。２０１９年７月、参議院選挙岩手選挙区に野党統一候補として立候補,/japanese/joho1/kousei/giin/profile/7019040.htm
岩手県,広瀬　めぐみ,ひろせ　めぐみ,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7022032.jpg,自由民主党,昭和４１年６月２７日、岩手県盛岡市中央通生まれ。実家は小田島旅館（現ホテル小田島）。昭和５７年４月、岩手県立盛岡第一高等学校入学ののち、１年間の米国留学。昭和６１年４月上智大学外国語学部英語学科入学。平成１１年９月、司法試験合格。平成１３年９月弁護士登録。平成２４年２月、国連にて「日本の女性の地位と状況について」と題してスピーチ。平成３０年７月以来、法務省・人権講義「女性と人権」を担当,/japanese/joho1/kousei/giin/profile/7022032.htm
